tree_id,tree_name,dedication_type,dedication_year,dedication_honoree,dedication_desc,scientific_name,additional_taxonomy,height_class,diameter_breast_height,age_class,canopy_radius,condition
900,Star Magnolia,,,,,Magnolia stellata,,Medium,2 in.,Semi-mature,6 ft.,Good
901,Star Magnolia,,,,,Magnolia stellata,,Medium,2 in.,Semi-mature,6 ft.,Good
902,Shumard Oak,,,,,Quercus shumardii,,Small,1.5 in.,New planting,2 ft.,Good
903,Eastern Redbud,,,,,Cercis canadensis,Pauline Lily,Small,2 in.,New planting,4 ft.,Good
904,Star Magnolia,,,,,Magnolia stellata,Kikuzaki,Small,2 in.,New planting,4 ft.,Good
906,Shantung Maple,,,,,Acer truncatum,Pictum Mono Canyon Sunset,Small,1 in.,New planting,2 ft.,Good
907,Shantung Maple,,,,,Acer truncatum,Pictum Mono Canyon Sunset,Small,1 in.,New planting,2 ft.,Good
908,Japanese Tree Lilac,,,,,Syringa reticulata,Snowdance,Small,1 in.,New planting,2 ft.,Good
911,Common Persimmon,,,,,Diospyros virginiana,,Small,1 in.,New planting,2 ft.,Good
912,Oak,,,,,Quercus sp,leana,Small,1 in.,New planting,2 ft.,Good
913,Dawn Redwood,,2011,Meghan Henry,,Metasequoia glyptostroboides,,Small,2 in.,New planting,4 ft.,Good
914,American Elm,,,,,Ulmus americana,Princeton,Medium,2.5 in.,New planting,4 ft.,Good
915,Pagoda Dogwood,Memorial,0,Rev. Dr. Kenneth O. Mesle,,Cornus alternifolia,controversa 'June Snow',Medium,2 in.,New planting,4 ft.,Good
916,Pagoda Dogwood,To honor,2005,Paul and Adele Helm,,Cornus alternifolia,controversa 'June Snow',Medium,2 in.,New planting,4 ft.,Good
917,Oak,,,,,Quercus sp,rxb Castle Green,Small,2 in.,New planting,2 ft.,Good
918,American Hophornbeam,,,,,Ostrya virginiana,,Small,1 in.,New planting,2 ft.,Good
919,American Hophornbeam,,,,,Ostrya virginiana,,Small,1 in.,New planting,2 ft.,Good
920,American Hophornbeam,,,,,Ostrya virginiana,,Small,1 in.,New planting,2 ft.,Good
921,Northern Red Oak,,,,,Quercus rubra,,Small,2 in.,New planting,2 ft.,Good
922,Yew,,,,,Taxus sp,Elmhurst Yew,Medium,2 in.,Mature,2 ft.,Good
923,Common Baldcypress,,,,,Taxodium distichum,,Small,2 in.,New planting,0 ft.,Good
924,Serviceberry,,,,,Amelanchier canadensis,,Medium,2 in.,Semi-mature,4 ft.,Good
925,Serviceberry,,,,,Amelanchier canadensis,,Medium,3 in.,Semi-mature,4 ft.,Good
926,American Hornbeam,,,,,Carpinus caroliniana,,Medium,4 in.,Semi-mature,6 ft.,Good
927,American Hornbeam,,,,,Carpinus caroliniana,,Medium,4 in.,Semi-mature,4 ft.,Good
928,American Hornbeam,,,,,Carpinus caroliniana,,Medium,4 in.,Semi-mature,4 ft.,Good
929,American Hornbeam,,,,,Carpinus caroliniana,,Medium,4 in.,Semi-mature,4 ft.,Good
930,Dawn Redwood,,,,,Metasequoia glyptostroboides,Miss Grace,Small,1.5 in.,Young,4 ft.,Good
932,Common Baldcypress,,0,Helen and Thomas Smith/ Madeleine and Theodore Cutright,,Taxodium distichum,,Small,2 in.,New planting,4 ft.,Good
933,Common Baldcypress,,0,Sgt. George Molenaar,,Taxodium distichum,,Small,2 in.,New planting,4 ft.,Good
934,Common Baldcypress,,,,,Taxodium distichum,,Small,2 in.,New planting,4 ft.,Good
935,White Oak,,,,,Quercus alba,,Small,1.5 in.,New planting,N/A ft.,Good
936,European Beech,,0,Herbert M. and Ruth Licht,,Fagus sylvatica,Rohanii,Small,2 in.,Young,4 ft.,Good
937,European Beech,,,,,Fagus sylvatica,Riversii,Small,1.5 in.,New planting,2.5 ft.,Good
938,Japanese Maple,,,,,Acer palmatum,Bloodgood,Small,1.5 in.,New planting,2 ft.,Good
939,Shantung Maple,,,,,Acer truncatum,Velazquez,Small,3 in.,Young,8 ft.,Good
940,Red Horsechestnut,Memorial,2021,Cynthia Ann Waldecker,,Aesculus x carnea,Fort McNair,Small,2 in.,New planting,3 ft.,Good
941,Red Horsechestnut,,,,,Aesculus x carnea,Fort McNair,Small,2 in.,New planting,3 ft.,Good
942,Shantung Maple,,,,,Acer truncatum,Velazquez,Small,3 in.,Young,6 ft.,Good
943,River Birch,,0,"Byron ""BJ"" Jackson",,Betula nigra,Heritage,Small,3.99 in.,Young,15 ft.,Good
944,Paperbark Maple,,0,Diane Foster,,Acer griseum,,Small,2 in.,New planting,2 ft.,Good
945,Sugar Maple,Memorial,1993,Don and Zi Parsons,,Acer saccharum,,Small,2 in.,New planting,2 ft.,Good
946,London Planetree,Available tree,0,Haakon Moen,,Platanus x acerifolia,"'Morton Circle"" Exclamation",Small,1.5 in.,New planting,2 ft.,Good
947,Japanese Tree Lilac,,,,,Syringa reticulata,Ivory Silk,Small,2 in.,New planting,2.5 ft.,Good
948,Japanese Tree Lilac,,,,,Syringa reticulata,Ivory Silk,Small,2 in.,New planting,2.5 ft.,Good
949,Japanese Tree Lilac,,,,,Syringa reticulata,Ivory Silk,Small,2 in.,New planting,2.5 ft.,Good
950,Japanese Tree Lilac,,,,,Syringa reticulata,Ivory Silk,Small,2 in.,New planting,2.5 ft.,Good
951,Japanese Tree Lilac,,,,,Syringa reticulata,Ivory Silk,Small,2 in.,New planting,2.5 ft.,Good
952,Japanese Tree Lilac,,,,,Syringa reticulata,Ivory Silk,Small,2 in.,New planting,2.5 ft.,Good
953,Ginkgo,To honor,,Stanger,,Ginkgo biloba,,Medium,3 in.,Young,4 ft.,Good
954,Elm,,,,,Ulmus sp,Accolade Elm,,2 in.,New planting,1 ft.,Good
955,Sweetbay Magnolia,,,,,Magnolia virginiana,,Small,2 in.,Young,2 ft.,Good
956,Magnolia,,,,,Magnolia sp,Butterflies,,1 in.,New planting,1 ft.,Good
957,Norway Maple,,,,,Acer platanoides,Emerald Queen,Small,2.5 in.,New planting,3 ft.,Good
958,Sugar Maple,,,,,Acer saccharum,Fall Fiesta,Small,2.5 in.,New planting,3 ft.,Good
959,Japanese Maple,,,,,Acer palmatum,Dissectum Orangeola Cutleaf,Small,2 in.,New planting,2 ft.,Good
960,Peach,,,,,Prunus persica,Elberta,Small,0.5 in.,New planting,1 ft.,Good
961,Peach,,,,,Prunus persica,Contender,Small,0.5 in.,New planting,1 ft.,Good
962,Peach,,,,,Prunus persica,Elberta,Small,0.5 in.,New planting,1 ft.,Good
963,Peach,,,,,Prunus persica,Contender,Small,0.5 in.,New planting,1 ft.,Good
964,Common Apple,,,,,Malus domestica,Gala,Small,0.5 in.,New planting,1 ft.,Good
965,Common Apple,,,,,Malus domestica,Honey Crisp,Small,0.5 in.,New planting,1 ft.,Good
966,Star Magnolia,,,,,Magnolia stellata,Ann Magnolia,Small,0.5 in.,New planting,1 ft.,Good
967,Littleleaf Linden,,,,,Tilia cordata,Greenspire,,3 in.,New planting,3 ft.,Good
968,Littleleaf Linden,,,,,Tilia cordata,Greenspire,,3 in.,New planting,3 ft.,Good
969,Littleleaf Linden,,,,,Tilia cordata,Greenspire,,3 in.,New planting,3 ft.,Good
970,Sargent Cherry,,,,,Prunus sargentii,Columnaris,,2.5 in.,New planting,2 ft.,Good
